"Date","Close","Open","High","Low","Volume","Change %"
"08/25/2017","70.43","70.07","71.08","69.94","1.12M","0.70%"
"08/24/2017","69.94","70.40","70.55","69.94","1.19M","-0.63%"
"08/23/2017","70.38","70.83","71.02","70.20","856.12K","-0.61%"
"08/22/2017","70.81","70.96","71.01","70.41","1.07M","0.57%"
"08/21/2017","70.41","70.88","70.94","69.96","1.23M","-0.91%"
"08/18/2017","71.06","71.34","71.34","70.36","1.86M","-0.96%"
"08/17/2017","71.75","72.16","72.46","71.44","1.85M","-0.94%"
"08/16/2017","72.43","72.11","73.53","72.07","1.48M","0.74%"
"08/15/2017","71.90","71.71","72.29","71.23","985.50K","0.87%"
"08/14/2017","71.28","70.66","71.45","70.57","931.95K","1.37%"
"08/11/2017","70.32","70.21","70.65","69.74","1.70M","-0.35%"
"08/10/2017","70.57","71.04","71.21","70.38","1.25M","-0.68%"
"08/09/2017","71.05","71.35","71.36","70.45","1.61M","-0.87%"
"08/08/2017","71.67","72.07","72.16","71.06","1.25M","-0.44%"
"08/07/2017","71.99","73.15","73.26","71.79","1.21M","-1.21%"
"08/04/2017","72.87","70.80","73.11","70.52","1.76M","2.87%"
"08/03/2017","70.84","70.54","71.57","70.46","1.43M","0.37%"
"08/02/2017","70.58","71.80","71.95","70.31","1.53M","-1.41%"
"08/01/2017","71.59","71.56","71.84","70.43","1.62M","2.02%"
"07/31/2017","70.17","71.78","72.01","70.07","2.30M","-2.46%"
"07/28/2017","71.94","71.48","72.64","71.35","2.28M","0.15%"
"07/27/2017","71.83","71.56","72.29","70.74","3.60M","-3.18%"
"07/26/2017","74.19","71.91","74.19","71.79","2.22M","2.77%"
"07/25/2017","72.19","71.09","72.81","71.08","1.65M","1.40%"
"07/24/2017","71.19","70.58","71.74","70.07","1.35M","0.37%"
"07/21/2017","70.93","71.30","72.11","70.63","2.62M","-1.38%"
"07/20/2017","71.92","73.55","73.72","71.73","1.97M","-1.80%"
"07/19/2017","73.24","72.40","73.42","71.68","1.68M","1.69%"
"07/18/2017","72.02","72.94","73.08","71.81","1.87M","-1.60%"
"07/17/2017","73.19","74.10","74.19","73.15","1.37M","-1.23%"
"07/14/2017","74.10","74.40","74.50","73.53","1.28M","-0.59%"
"07/13/2017","74.54","74.21","74.85","73.84","1.19M","0.49%"
"07/12/2017","74.18","74.22","74.41","73.50","1.78M","0.26%"
"07/11/2017","73.99","73.86","74.55","73.64","1.12M","0.11%"
"07/10/2017","73.91","73.84","74.24","73.29","918.71K","0.35%"
