"Date","Close","Open","High","Low","Volume","Change %"
"10/17/2017","15.425","15.550","15.570","15.425","8.44M","-0.84%"
"10/16/2017","15.555","15.520","15.625","15.460","6.73M","0.68%"
"10/13/2017","15.450","15.430","15.540","15.410","6.48M","0.13%"
"10/12/2017","15.430","15.635","15.655","15.395","12.01M","-1.44%"
"10/11/2017","15.655","15.700","15.715","15.515","10.26M","-0.10%"
"10/10/2017","15.670","15.730","15.740","15.640","6.02M","-0.22%"
"10/09/2017","15.705","15.730","15.760","15.675","4.39M","0.06%"
"10/06/2017","15.695","15.720","15.780","15.630","9.21M","0.00%"
"10/05/2017","15.695","15.660","15.720","15.585","6.58M","0.19%"
"10/04/2017","15.665","15.870","15.880","15.580","11.60M","-0.44%"
"10/02/2017","15.735","15.805","15.815","15.735","8.12M","-0.32%"
"09/29/2017","15.785","15.720","15.785","15.665","12.61M","0.51%"
"09/28/2017","15.705","15.750","15.755","15.635","8.98M","0.03%"
"09/27/2017","15.700","15.750","15.760","15.645","9.91M","-0.16%"
"09/26/2017","15.725","15.620","15.725","15.570","7.45M","0.74%"
"09/25/2017","15.610","15.475","15.705","15.455","10.05M","0.97%"
"09/22/2017","15.460","15.255","15.625","15.210","16.21M","0.78%"
"09/21/2017","15.340","15.745","15.755","15.275","13.03M","-2.17%"
"09/20/2017","15.680","15.750","15.810","15.665","14.82M","0.80%"
"09/19/2017","15.555","15.110","15.725","15.015","22.89M","3.12%"
"09/18/2017","15.085","15.080","15.195","15.005","8.64M","0.53%"
"09/15/2017","15.005","14.990","15.050","14.930","30.39M","0.10%"
"09/14/2017","14.990","15.020","15.030","14.905","10.29M","-0.13%"
"09/13/2017","15.010","15.065","15.130","14.955","11.38M","-0.66%"
"09/12/2017","15.110","15.200","15.200","15.060","8.09M","-0.23%"
"09/11/2017","15.145","15.115","15.175","15.000","8.54M","0.77%"
"09/08/2017","15.030","15.065","15.080","14.990","7.16M","-0.40%"
"09/07/2017","15.090","15.040","15.150","14.950","8.28M","0.60%"
"09/06/2017","15.000","14.935","15.085","14.810","9.74M","0.00%"
"09/05/2017","15.000","15.140","15.150","14.930","7.66M","-0.60%"
"09/04/2017","15.090","15.010","15.125","15.010","4.17M","-0.17%"
"09/01/2017","15.115","15.205","15.220","15.015","8.05M","-0.30%"
"08/31/2017","15.160","15.205","15.225","15.125","8.16M","0.26%"
"08/30/2017","15.120","15.185","15.225","15.090","6.77M","0.10%"
"08/29/2017","15.105","15.190","15.210","14.850","13.06M","-1.02%"
"08/28/2017","15.260","15.245","15.325","15.180","3.85M","-0.26%"
"08/25/2017","15.300","15.420","15.455","15.280","7.38M","-0.49%"
"08/24/2017","15.375","15.450","15.540","15.375","6.23M","-0.36%"
"08/23/2017","15.430","15.555","15.620","15.415","6.44M","-0.84%"
"08/22/2017","15.560","15.490","15.610","15.445","6.01M","0.84%"
"08/21/2017","15.430","15.460","15.565","15.380","5.38M","-0.52%"
"08/18/2017","15.510","15.500","15.625","15.465","8.52M","-0.35%"
"08/17/2017","15.565","15.600","15.655","15.530","6.59M","-0.32%"
"08/16/2017","15.615","15.790","15.790","15.615","6.66M","-0.51%"
"08/15/2017","15.695","15.795","15.815","15.670","5.32M","-0.44%"
"08/14/2017","15.765","15.600","15.810","15.545","7.04M","1.71%"
"08/11/2017","15.500","15.630","15.630","15.450","8.12M","-0.83%"
"08/10/2017","15.630","15.875","15.880","15.565","8.49M","-1.36%"
"08/09/2017","15.845","15.850","15.905","15.750","9.81M","-0.81%"
"08/08/2017","15.975","15.940","16.040","15.765","9.01M","0.19%"
"08/07/2017","15.945","15.810","15.955","15.765","11.58M","1.24%"
"08/04/2017","15.750","15.550","15.785","15.435","9.16M","1.25%"
"08/03/2017","15.555","15.715","15.805","15.535","10.00M","0.13%"
"08/02/2017","15.535","15.575","15.655","15.425","7.23M","-0.38%"
"08/01/2017","15.595","15.530","15.695","15.410","7.96M","0.97%"
"07/31/2017","15.445","15.540","15.660","15.405","8.73M","-0.77%"
"07/28/2017","15.565","15.560","15.645","15.455","8.69M","-0.54%"
