"Date","Close","Open","High","Low","Volume","Change %"
"08/25/2017","5.095","5.080","5.110","5.040","15.73M","0.30%"
"08/24/2017","5.080","5.010","5.120","4.998","29.64M","2.01%"
"08/23/2017","4.980","5.050","5.075","4.966","21.01M","-1.19%"
"08/22/2017","5.040","5.080","5.085","5.010","17.12M","-0.59%"
"08/21/2017","5.070","5.040","5.070","5.025","14.36M","0.10%"
"08/18/2017","5.065","5.000","5.065","4.996","22.31M","0.70%"
"08/17/2017","5.030","5.060","5.120","5.030","22.43M","-0.69%"
"08/16/2017","5.065","5.050","5.080","5.030","20.07M","0.70%"
"08/14/2017","5.030","4.920","5.055","4.896","28.11M","2.91%"
"08/11/2017","4.888","4.922","4.940","4.880","19.98M","-0.73%"
"08/10/2017","4.924","4.954","4.978","4.918","18.54M","-1.01%"
"08/09/2017","4.974","4.988","4.990","4.924","25.34M","-0.72%"
"08/08/2017","5.010","4.978","5.010","4.968","23.74M","0.56%"
"08/07/2017","4.982","4.988","4.992","4.962","18.21M","-0.04%"
"08/04/2017","4.984","4.942","4.992","4.920","27.30M","0.89%"
"08/03/2017","4.940","4.880","4.942","4.852","24.52M","1.23%"
"08/02/2017","4.880","4.882","4.902","4.854","19.84M","-0.16%"
"08/01/2017","4.888","4.858","4.888","4.806","21.92M","1.33%"
"07/31/2017","4.824","4.810","4.860","4.806","23.89M","0.21%"
"07/28/2017","4.814","4.888","4.888","4.782","30.83M","-1.55%"
"07/27/2017","4.890","4.844","4.890","4.826","22.60M","0.66%"
"07/26/2017","4.858","4.806","4.858","4.788","21.73M","1.25%"
"07/25/2017","4.798","4.868","4.892","4.798","26.25M","-1.28%"
"07/24/2017","4.860","4.846","4.874","4.824","31.59M","-1.02%"
"07/21/2017","4.910","4.932","4.966","4.910","38.58M","-0.20%"
"07/20/2017","4.920","4.980","4.996","4.918","31.70M","-0.93%"
"07/19/2017","4.966","4.968","4.978","4.950","24.14M","0.12%"
"07/18/2017","4.960","4.910","4.964","4.906","39.02M","0.77%"
"07/17/2017","4.922","4.942","4.970","4.914","33.29M","-0.97%"
"07/14/2017","4.970","4.944","4.976","4.940","30.77M","-0.04%"
"07/13/2017","4.972","4.890","4.972","4.870","50.77M","2.05%"
"07/12/2017","4.872","4.798","4.878","4.784","26.58M","1.71%"
"07/11/2017","4.790","4.800","4.818","4.758","24.39M","-0.17%"
"07/10/2017","4.798","4.746","4.834","4.740","34.14M","1.65%"
"07/07/2017","4.720","4.716","4.740","4.696","29.47M","0.43%"
"07/06/2017","4.700","4.676","4.708","4.640","28.25M","0.21%"
"07/05/2017","4.690","4.716","4.734","4.670","26.04M","-1.14%"
"07/04/2017","4.744","4.750","4.750","4.712","14.96M","-0.34%"
"07/03/2017","4.760","4.706","4.782","4.690","25.87M","1.41%"
"06/30/2017","4.694","4.746","4.750","4.694","45.58M","-1.01%"
"06/29/2017","4.742","4.846","4.846","4.708","42.11M","-2.02%"
"06/28/2017","4.840","4.770","4.858","4.698","46.28M","0.83%"
"06/27/2017","4.800","4.924","4.940","4.780","39.62M","-3.03%"
"06/26/2017","4.950","4.900","4.960","4.894","26.16M","1.06%"
"06/23/2017","4.898","4.914","4.946","4.852","23.03M","-0.57%"
"06/22/2017","4.926","4.964","4.966","4.902","29.06M","-1.08%"
"06/21/2017","4.980","4.898","4.982","4.860","35.79M","1.80%"
"06/20/2017","4.892","4.940","4.978","4.892","26.22M","-0.81%"
"06/19/2017","4.932","4.930","4.954","4.884","28.86M","0.24%"
"06/16/2017","4.920","4.898","4.920","4.842","50.53M","1.15%"
"06/15/2017","4.864","4.846","4.870","4.804","41.51M","0.21%"
"06/14/2017","4.854","4.852","4.906","4.828","37.51M","0.08%"
"06/13/2017","4.850","4.844","4.880","4.824","28.00M","0.12%"
"06/12/2017","4.844","4.896","4.906","4.814","34.00M","-1.10%"
"06/09/2017","4.898","4.920","4.988","4.872","43.93M","-0.89%"
"06/08/2017","4.942","4.804","4.948","4.780","55.16M","3.04%"
"06/07/2017","4.796","4.782","4.860","4.736","43.13M","0.33%"
"06/06/2017","4.780","4.680","4.790","4.678","32.72M","1.40%"
"06/05/2017","4.714","4.706","4.724","4.670","20.52M","-0.34%"
"06/02/2017","4.730","4.798","4.814","4.692","34.00M","-1.09%"
"06/01/2017","4.782","4.782","4.828","4.740","33.93M","0.50%"
"05/31/2017","4.758","4.736","4.800","4.730","72.50M","0.63%"
"05/30/2017","4.728","4.652","4.740","4.648","30.73M","0.60%"
"05/29/2017","4.700","4.784","4.796","4.678","31.94M","-2.25%"
"05/26/2017","4.808","4.758","4.810","4.752","33.69M","0.80%"
"05/25/2017","4.770","4.760","4.788","4.724","25.29M","0.63%"
"05/24/2017","4.740","4.774","4.784","4.708","29.47M","-0.96%"
"05/23/2017","4.786","4.724","4.786","4.712","37.10M","1.18%"
"05/22/2017","4.730","4.688","4.740","4.670","30.62M","0.98%"
"05/19/2017","4.684","4.658","4.700","4.630","38.10M","0.99%"
"05/18/2017","4.638","4.630","4.652","4.564","42.93M","0.22%"
"05/17/2017","4.628","4.668","4.708","4.606","42.79M","-1.15%"
"05/16/2017","4.682","4.562","4.696","4.548","52.00M","2.41%"
"05/15/2017","4.572","4.576","4.580","4.530","26.16M","0.13%"
"05/12/2017","4.566","4.570","4.578","4.518","27.66M","0.09%"
"05/11/2017","4.562","4.582","4.582","4.510","31.38M","-0.18%"
"05/10/2017","4.570","4.540","4.586","4.528","25.67M","0.44%"
"05/09/2017","4.550","4.576","4.594","4.544","28.32M","-0.39%"
"05/08/2017","4.568","4.588","4.598","4.540","31.95M","-0.22%"
"05/05/2017","4.578","4.534","4.588","4.484","38.82M","0.97%"
"05/04/2017","4.534","4.440","4.564","4.432","46.85M","2.26%"
"05/03/2017","4.434","4.422","4.434","4.400","21.12M","0.23%"
"05/02/2017","4.424","4.400","4.442","4.366","30.58M","1.37%"
"04/28/2017","4.364","4.366","4.382","4.354","30.66M","-0.77%"
"04/27/2017","4.398","4.356","4.416","4.356","27.30M","-0.23%"
"04/26/2017","4.408","4.408","4.412","4.378","29.57M","-0.50%"
"04/25/2017","4.430","4.452","4.454","4.414","26.83M","-0.49%"
"04/24/2017","4.452","4.340","4.452","4.332","81.47M","6.25%"
"04/21/2017","4.190","4.244","4.246","4.162","50.95M","-1.23%"
"04/20/2017","4.242","4.282","4.292","4.242","33.02M","-1.35%"
"04/19/2017","4.300","4.268","4.300","4.238","27.07M","1.37%"
"04/18/2017","4.242","4.322","4.328","4.242","34.89M","-1.99%"
"04/13/2017","4.328","4.382","4.390","4.316","31.94M","-1.14%"
"04/12/2017","4.378","4.364","4.428","4.358","30.69M","-0.05%"
"04/11/2017","4.380","4.332","4.404","4.324","34.53M","0.60%"
"04/10/2017","4.354","4.396","4.404","4.310","38.86M","-1.05%"
"04/07/2017","4.400","4.402","4.408","4.376","29.04M","0.00%"
"04/06/2017","4.400","4.360","4.428","4.350","29.95M","0.36%"
