Date,BNP,Airbus,Deutsche,Enel,LVMH,Sanofi
1999-11-02,40.6,23.05,44.95,7.022,53.98,41.38
1999-11-03,41.23,22.61,46.27,7.02,55.52,42.42
1999-11-04,42.14,22.86,48.18,7.017,56.45,43.77
1999-11-05,41.01,22.76,47.7,7.01,57.5,46.11
1999-11-08,40.86,22.28,47.13,6.991,57.26,45.77
1999-11-09,41.66,22.21,48.69,6.988,56.74,44.77
1999-11-10,42.91,22.16,49.1,6.992,56.72,42.63
1999-11-11,44.26,22.09,50.82,6.988,56.87,43.48
1999-11-12,43.64,21.67,50.79,6.989,56.89,43.97
1999-11-15,44.36,21.02,51.77,7.002,57.05,44.07
1999-11-16,45.06,21.22,51.5,7.004,58.08,44.17
1999-11-17,43.97,21.16,51.18,7.1,59.03,42.78
1999-11-18,43.25,20.9,53.1,7.118,59.14,42.48
1999-11-19,43.88,20.57,55.3,7.09,59.86,41.98
1999-11-22,43.11,20.48,54.3,7.028,58.92,40.69
1999-11-23,43.4,20.67,54.8,7.025,58.85,40.69
1999-11-24,42.5,20.67,54.2,7.069,58.98,41.0
1999-11-25,43.28,20.77,57.65,7.13,59.16,42.15
1999-11-26,42.91,20.15,58.7,7.087,59.17,41.01
1999-11-29,42.91,20.87,57.0,7.077,58.81,41.68
1999-11-30,43.88,21.16,57.3,7.223,58.08,40.69
1999-12-01,43.15,21.97,56.65,7.167,59.75,40.99
1999-12-02,42.7,21.27,56.4,7.19,59.5,41.63
1999-12-03,43.66,22.01,60.09,7.056,60.27,42.28
1999-12-06,43.68,21.56,59.3,7.028,61.32,40.99
1999-12-07,44.31,21.3,59.21,6.95,61.64,40.94
1999-12-08,44.05,22.06,58.9,6.589,61.46,42.05
1999-12-09,44.09,20.87,59.4,6.832,62.0,40.79
1999-12-10,44.31,21.15,58.2,6.847,61.28,39.59
1999-12-13,44.34,21.67,57.0,7.082,61.64,39.68
1999-12-14,44.46,21.07,58.75,7.056,61.1,39.79
1999-12-15,43.9,20.49,58.1,6.795,61.55,40.36
1999-12-16,44.41,20.5,57.9,6.997,61.64,39.79
1999-12-17,42.91,20.52,57.51,6.89,67.63,37.3
1999-12-20,42.58,20.67,60.79,6.921,66.69,38.8
1999-12-21,42.91,20.87,61.3,6.669,69.75,37.55
1999-12-22,43.2,20.37,65.95,6.708,72.28,38.6
1999-12-23,44.05,21.07,67.96,6.795,74.64,38.29
1999-12-27,44.17,21.36,68.86,6.723,76.44,38.78
1999-12-28,43.95,21.24,68.38,6.782,77.51,38.3
1999-12-29,44.36,21.4,68.09,6.725,78.59,39.78
1999-12-30,44.17,21.66,71.0,6.771,80.16,41.12
2000-01-03,44.6,21.2,69.5,6.522,80.03,39.99
2000-01-04,43.37,21.17,67.0,6.325,72.46,37.5
2000-01-05,42.43,20.99,65.25,6.255,70.01,35.92
2000-01-06,40.98,20.37,61.0,6.434,69.21,37.3
2000-01-07,41.49,20.62,64.74,6.434,69.21,39.29
2000-01-10,41.76,21.75,66.26,6.271,72.13,38.45
2000-01-11,40.21,21.12,66.0,6.176,73.54,38.95
2000-01-12,40.6,21.57,68.0,6.385,76.78,38.1
