"Date,""Close"",""Open"",""High"",""Low"",""Volume"",""Change %"""
"08/21/2017,""81.47"",""81.39"",""82.04"",""81.10"",""1.58M"",""-0.44%"""
"08/18/2017,""81.83"",""81.58"",""82.13"",""81.02"",""2.34M"",""-0.61%"""
"08/17/2017,""82.33"",""81.99"",""82.83"",""81.87"",""2.03M"",""0.22%"""
"08/16/2017,""82.15"",""81.57"",""82.49"",""81.57"",""1.49M"",""1.00%"""
"08/15/2017,""81.34"",""80.91"",""81.39"",""80.91"",""1.14M"",""0.73%"""
"08/14/2017,""80.75"",""80.28"",""80.95"",""80.13"",""1.52M"",""0.71%"""
"08/11/2017,""80.18"",""80.05"",""80.57"",""79.55"",""2.30M"",""-0.25%"""
"08/10/2017,""80.38"",""79.88"",""80.83"",""79.88"",""2.06M"",""-0.05%"""
"08/09/2017,""80.42"",""80.95"",""80.97"",""80.06"",""2.61M"",""-1.63%"""
"08/08/2017,""81.75"",""81.25"",""82.06"",""80.87"",""2.05M"",""0.62%"""
"08/07/2017,""81.25"",""81.22"",""81.54"",""80.82"",""1.64M"",""0.09%"""
"08/04/2017,""81.18"",""80.00"",""81.68"",""79.60"",""2.43M"",""1.48%"""
"08/03/2017,""80.00"",""79.75"",""80.35"",""79.34"",""1.96M"",""0.50%"""
"08/02/2017,""79.60"",""78.84"",""80.25"",""78.79"",""2.26M"",""0.42%"""
"08/01/2017,""79.27"",""81.20"",""81.20"",""79.25"",""2.61M"",""-1.28%"""
"07/31/2017,""80.30"",""82.32"",""82.96"",""80.30"",""3.02M"",""-1.06%"""
"07/28/2017,""81.16"",""81.26"",""81.30"",""80.11"",""2.74M"",""-0.76%"""
"07/27/2017,""81.78"",""81.42"",""82.00"",""81.16"",""2.58M"",""-0.15%"""
"07/26/2017,""81.90"",""82.25"",""82.86"",""81.73"",""2.08M"",""-0.41%"""
"07/25/2017,""82.24"",""81.67"",""83.31"",""81.67"",""2.40M"",""0.93%"""
"07/24/2017,""81.48"",""81.29"",""81.86"",""80.90"",""1.94M"",""0.48%"""
"07/21/2017,""81.09"",""82.32"",""82.87"",""80.86"",""2.99M"",""-1.52%"""
"07/20/2017,""82.34"",""81.57"",""82.89"",""81.34"",""2.53M"",""0.65%"""
"07/19/2017,""81.81"",""82.11"",""82.34"",""81.74"",""2.18M"",""-0.43%"""
"07/18/2017,""82.16"",""83.39"",""83.97"",""82.16"",""1.90M"",""-1.44%"""
"07/17/2017,""83.36"",""83.96"",""84.12"",""83.19"",""1.47M"",""-0.93%"""
"07/14/2017,""84.14"",""84.74"",""84.83"",""83.86"",""1.76M"",""-0.75%"""
"07/13/2017,""84.78"",""85.51"",""86.02"",""84.78"",""2.24M"",""-0.85%"""
"07/12/2017,""85.51"",""83.19"",""85.84"",""83.11"",""2.67M"",""3.11%"""
"07/11/2017,""82.93"",""83.24"",""83.82"",""82.90"",""1.42M"",""-0.64%"""
"07/10/2017,""83.46"",""83.45"",""83.97"",""83.28"",""1.36M"",""0.29%"""
"07/07/2017,""83.22"",""82.41"",""83.39"",""82.40"",""1.90M"",""0.82%"""
"07/06/2017,""82.54"",""83.88"",""83.99"",""82.07"",""3.22M"",""-1.48%"""
"07/05/2017,""83.78"",""83.21"",""84.22"",""82.74"",""2.25M"",""0.43%"""
"07/04/2017,""83.42"",""83.37"",""83.93"",""83.21"",""1.28M"",""-0.41%"""
"07/03/2017,""83.76"",""83.04"",""84.17"",""82.92"",""1.78M"",""0.53%"""
"06/30/2017,""83.32"",""83.92"",""84.92"",""83.31"",""3.33M"",""-0.93%"""
"06/29/2017,""84.10"",""86.35"",""86.36"",""83.87"",""2.94M"",""-2.49%"""
"06/28/2017,""86.25"",""86.69"",""86.86"",""85.71"",""2.49M"",""-1.06%"""
"06/27/2017,""87.17"",""88.22"",""88.27"",""86.87"",""2.01M"",""-1.21%"""
"06/26/2017,""88.24"",""87.71"",""88.60"",""87.49"",""1.86M"",""0.95%"""
"06/23/2017,""87.41"",""87.88"",""88.42"",""87.41"",""2.40M"",""-0.88%"""
"06/22/2017,""88.19"",""86.55"",""88.51"",""86.24"",""2.86M"",""2.42%"""
"06/21/2017,""86.11"",""86.24"",""86.35"",""85.33"",""2.18M"",""-0.30%"""
"06/20/2017,""86.37"",""86.67"",""87.29"",""86.37"",""1.88M"",""0.14%"""
"06/19/2017,""86.25"",""85.10"",""86.78"",""84.86"",""2.30M"",""1.93%"""
"06/16/2017,""84.62"",""85.58"",""86.10"",""84.35"",""9.02M"",""-0.48%"""
"06/15/2017,""85.03"",""84.29"",""85.21"",""83.49"",""3.40M"",""0.72%"""
"06/14/2017,""84.42"",""84.89"",""85.65"",""84.42"",""2.14M"",""-0.55%"""
"06/13/2017,""84.89"",""84.56"",""85.17"",""84.40"",""1.93M"",""0.57%"""
"06/12/2017,""84.41"",""85.67"",""85.96"",""84.23"",""2.42M"",""-1.49%"""
